,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
175,08/01/2022,0,0,6676026.612500002,47617385.44374999,34698136.46250001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
176,08/02/2022,0,0,6722051.800000002,47804291.59999999,34809686.40000001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
177,08/03/2022,0,0,6768076.987500002,47991197.75624999,34921236.33750001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
178,08/04/2022,0,0,6814102.175000002,48178103.91249999,35032786.27500001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
179,08/05/2022,0,0,6860127.362500002,48365010.06874999,35144336.21250001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
180,08/06/2022,0,0,6906152.550000002,48551916.22499999,35255886.15000001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
181,08/07/2022,0,0,6952177.737500002,48738822.38124999,35367436.08750001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
182,08/08/2022,0,0,6998202.925000002,48925728.53749999,35478986.02500001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
183,08/09/2022,0,0,7044228.112500002,49112634.69374999,35590535.96250001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
184,08/10/2022,0,0,7090253.300000002,49299540.84999999,35702085.90000001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
185,08/11/2022,0,0,7136278.487500002,49486447.00624999,35813635.83750001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
186,08/12/2022,0,0,7182303.675000002,49673353.16249999,35925185.77500001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
187,08/13/2022,0,0,7228328.862500002,49860259.31874999,36036735.71250001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
188,08/14/2022,0,0,7274354.050000002,50047165.47499999,36148285.65000001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
189,08/15/2022,0,0,7320379.237500002,50234071.63124999,36259835.58750001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
190,08/16/2022,0,0,7366404.425000002,50420977.78749999,36371385.52500001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
191,08/17/2022,0,0,7412429.612500002,50607883.94374999,36482935.46250001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
192,08/18/2022,0,0,7458454.800000002,50794790.09999999,36594485.40000001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
193,08/19/2022,0,0,7504479.987500002,50981696.25624999,36706035.33750001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
194,08/20/2022,0,0,7550505.175000002,51168602.41249999,36817585.27500001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
195,08/21/2022,0,0,7596530.362500002,51355508.56874999,36929135.21250001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
196,08/22/2022,0,0,7642555.550000002,51542414.72499999,37040685.15000001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
197,08/23/2022,0,0,7688580.737500002,51729320.88124999,37152235.08750001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
198,08/24/2022,0,0,7734605.925000002,51916227.03749999,37263785.02500001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
199,08/25/2022,0,0,7780631.112500002,52103133.19374999,37375334.96250001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
200,08/26/2022,0,0,7826656.300000002,52290039.34999999,37486884.90000001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
201,08/27/2022,0,0,7872681.487500002,52476945.50624999,37598434.83750001,37461154.8,0.0,111549.9375,186906.15625,46025.1875,0
