,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
125,06/12/2022,0,22112417.0,38832594.1875,280700871.20944434,139639159.87068948,150045140.96875,113380.14375001192,108659.77046129107,218426.49484682083,39717.53750000149,51277.800000000745
126,06/13/2022,0,22163694.8,38872311.725,280919297.7042911,139747819.64115077,150158521.1125,113380.14375001192,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
127,06/14/2022,0,22214972.6,38912029.2625,281137724.19913787,139856479.41161206,150271901.25625,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
128,06/15/2022,0,22266250.4,38951746.8,281356150.6939846,139965139.18207335,150385281.4,113380.14375001192,108659.77046129107,218426.49484676123,39717.53749999404,51277.79999999702
129,06/16/2022,0,22317528.2,38991464.3375,281574577.1888314,140073798.95253465,150498661.54375,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
130,06/17/2022,0,22368806.0,39031181.875,281793003.68367815,140182458.72299594,150612041.6875,113380.14375001192,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
131,06/18/2022,0,22420083.8,39070899.4125,282011430.178525,140291118.49345723,150725421.83125,113380.14375001192,108659.77046129107,218426.49484682083,39717.53750000149,51277.800000000745
132,06/19/2022,0,22471361.6,39110616.95,282229856.67337173,140399778.26391852,150838801.975,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
133,06/20/2022,0,22522639.4,39150334.4875,282448283.1682185,140508438.0343798,150952182.11875,113380.14375001192,108659.77046129107,218426.49484676123,39717.53749999404,51277.79999999702
134,06/21/2022,0,22573917.2,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,113380.14374998212,108659.77046129107,218426.49484676123,39717.53750000149,51277.800000000745
135,06/22/2022,0,22625195.0,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
136,06/23/2022,0,22676472.8,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
137,06/24/2022,0,22727750.6,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
138,06/25/2022,0,22779028.400000002,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
139,06/26/2022,0,22830306.200000003,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
140,06/27/2022,0,22881584.000000004,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
141,06/28/2022,0,22932861.800000004,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
142,06/29/2022,0,22984139.600000005,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
143,06/30/2022,0,23035417.400000006,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
144,07/01/2022,0,23086695.200000007,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
145,07/02/2022,0,23137973.000000007,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
146,07/03/2022,0,23189250.80000001,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
147,07/04/2022,0,23240528.60000001,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
148,07/05/2022,0,23291806.40000001,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
149,07/06/2022,0,23343084.20000001,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
150,07/07/2022,0,23394362.00000001,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
151,07/08/2022,0,23445639.800000012,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
152,07/09/2022,0,23496917.600000013,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
153,07/10/2022,0,23548195.400000013,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
154,07/11/2022,0,23599473.200000014,39190052.025,282666709.66306525,140617097.8048411,151065562.2625,0.0,0.0,0.0,0.0,51277.800000000745
