,date,school,work
368,02/24/2023,1,1
369,02/25/2023,1,0
370,02/26/2023,1,0
371,02/27/2023,1,1
372,02/28/2023,1,1
373,03/01/2023,1,1
374,03/02/2023,1,1
375,03/03/2023,1,1
376,03/04/2023,1,0
377,03/05/2023,1,0
378,03/06/2023,1,1
379,03/07/2023,1,1
380,03/08/2023,1,1
381,03/09/2023,1,1
382,03/10/2023,1,1
383,03/11/2023,1,0
384,03/12/2023,1,0
385,03/13/2023,1,1
386,03/14/2023,1,1
387,03/15/2023,1,1
388,03/16/2023,1,1
389,03/17/2023,1,1
390,03/18/2023,1,0
391,03/19/2023,1,0
392,03/20/2023,1,1
393,03/21/2023,1,1
394,03/22/2023,1,1
395,03/23/2023,1,1
396,03/24/2023,1,1
397,03/25/2023,1,0
398,03/26/2023,1,0
399,03/27/2023,1,1
400,03/28/2023,1,1
401,03/29/2023,1,1
402,03/30/2023,1,1
403,03/31/2023,1,1
404,04/01/2023,1,0
405,04/02/2023,1,0
406,04/03/2023,1,1
407,04/04/2023,1,1
408,04/05/2023,1,1
409,04/06/2023,1,1
410,04/07/2023,1,1
411,04/08/2023,1,0
412,04/09/2023,1,0
413,04/10/2023,1,1
414,04/11/2023,1,1
415,04/12/2023,1,1
416,04/13/2023,1,1
417,04/14/2023,1,1
418,04/15/2023,1,0
419,04/16/2023,1,0
420,04/17/2023,1,1
421,04/18/2023,1,1
422,04/19/2023,1,1
423,04/20/2023,1,1
424,04/21/2023,1,1
425,04/22/2023,1,0
426,04/23/2023,1,0
427,04/24/2023,1,1
428,04/25/2023,1,1
429,04/26/2023,1,1
430,04/27/2023,1,1
431,04/28/2023,1,1
432,04/29/2023,1,0
433,04/30/2023,1,0
434,05/01/2023,1,1
435,05/02/2023,1,1
436,05/03/2023,1,1
437,05/04/2023,1,1
438,05/05/2023,1,1
439,05/06/2023,1,0
440,05/07/2023,1,0
441,05/08/2023,1,1
442,05/09/2023,1,1
443,05/10/2023,1,1
444,05/11/2023,1,1
445,05/12/2023,1,1
446,05/13/2023,1,0
447,05/14/2023,1,0
448,05/15/2023,1,1
449,05/16/2023,1,1
450,05/17/2023,1,1
451,05/18/2023,1,1
452,05/19/2023,1,1
453,05/20/2023,1,0
454,05/21/2023,1,0
455,05/22/2023,1,1
456,05/23/2023,1,1
457,05/24/2023,1,1
458,05/25/2023,1,1
459,05/26/2023,1,1
460,05/27/2023,1,0
461,05/28/2023,1,0
462,05/29/2023,1,1
463,05/30/2023,1,1
464,05/31/2023,1,1
465,06/01/2023,1,1
466,06/02/2023,1,1
467,06/03/2023,1,0
468,06/04/2023,1,0
469,06/05/2023,1,1
470,06/06/2023,1,1
471,06/07/2023,1,1
472,06/08/2023,1,1
473,06/09/2023,1,1
474,06/10/2023,1,0
475,06/11/2023,1,0
476,06/12/2023,1,1
477,06/13/2023,1,1
478,06/14/2023,1,1
479,06/15/2023,1,1
480,06/16/2023,1,1
481,06/17/2023,1,0
482,06/18/2023,1,0
483,06/19/2023,1,1
484,06/20/2023,1,1
485,06/21/2023,1,1
486,06/22/2023,1,1
487,06/23/2023,1,1
488,06/24/2023,1,0
489,06/25/2023,1,0
490,06/26/2023,1,1
491,06/27/2023,1,1
492,06/28/2023,1,1
493,06/29/2023,1,1
494,06/30/2023,1,1
495,07/01/2023,1,0
496,07/02/2023,1,0
497,07/03/2023,1,1
498,07/04/2023,1,1
499,07/05/2023,1,1
